OBJECTID	Park Location	Address	Point_ID	Date	Num	Comments	Other	GlobalID	Review	"Status (0=no decline, 3=severe decline)"	Status Notes	x	y
1	Cheasty Mt View	"4701 Mountain View Dr S, Seattle, WA 98108"	CHMV_PP1	6/28/17	1	Off trail on ridge east of bowl		bc3b1bd8-6275-4c82-9e17-31a50e35390b		1		-122.2975255	47.56140035
2	Cheasty Mt View	"4701 Mountain View Dr S, Seattle, WA 98108"	CHMV_PP2	6/28/17	2			e323ce58-9edc-42a4-ba0d-4db6ea1f9c71		1		-122.2976832	47.56145606
3	Cheasty Mt View	"4701 Mountain View Dr S, Seattle, WA 98108"	CHMV_PP3	6/28/17	1	On edge of social trail		36307e02-5900-4e8a-89f6-f73c3ed70445		1		-122.2981241	47.56132084
4	Cheasty Mt View	"4701 Mountain View Dr S, Seattle, WA 98108"	CHMV_PP4	6/28/17	1	Just east of trail at base of decaying stump		c1b40dd7-62d5-489a-a55f-802454692bbb		0		-122.2985851	47.5610878
6	Lakeridge Park		DHC#1	8/25/17	1	east of road facing due north	stake approximately 12 feet east of pavement/road	d791fdfb-880b-4707-9010-b459c99be5ee		1		-122.2487656	47.50931408
7	Lakeridge Park		DHC#2	8/25/17	1	"photo depicts steep se facing slope,  some completely dead ferns among healthy.  Mature acma forest"	"photo facing wnw, stake near edge of wet ""gully"""	263d9ae1-b72c-4a5c-b2a5-0c9833eb40c1		1		-122.2491513	47.50921563
8	lakeridge park		DHC#3	8/25/2017	3	"15 feet off trail, near base of western red cedar"	"P1=SE, P2=E,  P3=SW"	26794048-0557-41c7-99bf-13664d642616		2		-122.2472038	47.50613821
9	Lekeridge Park		DHC#4	8/25/2017	2	"east facing slope, at W edge of trail"	"P1=SSW, P2=W"	eab6fa81-2f7d-4cf8-acb4-3b043f9cff4c		1		-122.247509	47.50534745
10	seward		1	9/13/17	2	Ground Zero		cd1eeb9a-e38b-45e0-85a8-afb54874b5f6		3		-122.2495391	47.55542689
18	"cougar, redtown"		crt#1	"9-22,2017"		northeast	four or five scattered between trailhead and mead    ow restoration site and back in  a loop. sept 22 roughly 50 more dead	d6f1a4cb-ccaa-4809-b69d-f79c256c7945		1		-122.121861	47.52903215
19	cougar		2			northeast	gate at meadow view trails.about 20 dead	6850f72f-bb8a-4ff9-9e31-3ee488b749d4		1		-122.1290242	47.53160449
20	cougar		3	"9-22, 2017"		"east, southeast"	"up bagley seam trail.as of april 21, 2018 about 120 dead in area of redtown."	a66d11d4-f4f0-4c2b-8633-b66e611a3c53		2		-122.1278508	47.53323008
21	"cougar, tibbets trail"		1	"9-23,2017"		southeast	five or more dead in half mile or so of trail.	49a7bbe3-57d5-46da-b783-a0aca55ff2a5		1		-122.0953984	47.5385277
22	 coal creek		1	"9-23,2017"		"south, southeast"	70 or so dead on and along	5a6cce48-b190-42a9-b262-d9b013e78984	Missing point location photo	2		-122.1299281	47.53576865
24	cheasty		1	"9-26,2017"		"northwest ,southwesthuguq"	"three in february, eight now.on trail across from p24th place south.ce"	292f6f8e-1f12-4f77-8c95-68b8eab507b0		1		-122.3000387	47.56399217
26	Coal Creek		1	"9-27, 2017"		"se, e"	"just off maintenance road. 50 dead 100 "" along trail"	2ae9f377-c816-4648-bef1-8e8c5c6e932c		2		-122.1509388	47.54189139
27	weowena park		1	"9-27,2017"		"n, se"	50 dead in immediate area. 32 last time.south trail.ai	cafb0da2-b145-47ed-8834-70d1b352a096		2		-122.1152473	47.5928916
28	weowema park		1	"9-27,2017"		"s, w"	about same dead 13	a79d2258-15a9-4a77-851c-c6a8ab682280		1		-122.1142602	47.59268155
29	weowena park		1	"9-27,2017"		"s, sw"	"was 40 dead,  now 70"	803f9e3e-73d8-4a34-8b84-9f2d5be8dd68		2		-122.1126515	47.60348009
30	squak mountain		1	"9-29,2017"		"n,e"	65 dead above where slope mower cut.	538b3a70-e96c-4305-878e-ae9322373c55		2		-122.0877364	47.50368276
31	squak		2	"9-29,2017"		ne	about 20 dead in area	0e1a7937-8aec-47ac-8412-a87ac3058474		1		-122.0860014	47.50649933
32	cheasty		1	"9-26,2017"		"nw, sw"	"3 dead in feb, 8 dead now , trail across from 24th place south"	c2223e41-05bd-4e40-a389-54a3aa46a886		1		-122.3003187	47.56370253
