Date	Comments	lat	lon	deadCount
Cheasty Mt View 1	6/28/17	Off trail on ridge east of bowl	47.5613946726849	-122.297510721705	0
Cheasty Mt View 2	6/28/17	(missing)	47.5614503824786	-122.297668408481	0
Cheasty Mt View 3	6/28/17	On edge of social trail	47.5613151603552	-122.298109270388	0
Cheasty Mt View 4	6/28/17	Just east of trail at base of decaying stump	47.5610821198313	-122.298570332263	0
Lakeridge Park 1	8/25/17	east of road facing due north	47.5093083950651	-122.248750849319	0
Lakeridge Park 2	8/25/17	photo depicts steep se facing slope,  some completely dead ferns among healthy.  Mature acma forest	47.5092099530058	-122.249136522008	0
lakeridge park	8/25/2017	fifteen feet off trail, near base of western red cedar	47.5061325315289	-122.247188993298	0
Lekeridge Park	8/25/2017	east facing slope, at W edge of trail	47.5053417711695	-122.247494205861	0
seward park 1	9/13/17	Ground Zero	47.5554212057898	-122.249524314591	0
cougar, redtown	9-22,2017	northeast	47.5290264488799	-122.121846179825	0
cougar 2	(missing)	northeast	47.5315987992345	-122.129009385031	0
cougar 3	9-22, 2017	east, southeast	47.5332243831604	-122.127836033793	0
cougar, tibbets trail	9-23,2017	southeast	47.5385220000258	-122.095383590183	0
coal creek 1	9-23,2017	south, southeast	47.53576295272	-122.129913289726	0
cheasty 1	9-26,2017	northwest ,southwesthuguq	47.5639864947212	-122.300023850843	0
Coal Creek 2	9-27, 2017	se, e	47.5418857000397	-122.150924033768	0
weowena park !	9-27,2017	n, se	47.592885900563	-122.115232489552	0
weowema park 2	9-27,2017	s, w	47.5926758500257	-122.114245400041	0
weowena park 3	9-27,2017	s, sw	47.6034743932624	-122.112636747492	0
squak mountain	9-29,2017	n,e	47.5036770626017	-122.087721611897	0
squak	9-29,2017	ne	47.5064936311732	-122.085986592457	0
cheasty 2	9-26,2017	nw, sw	47.5636968501802	-122.300303927788	0
madrona woods 1	9-29,2017	se, sw	47.6113855033656	-122.283479180066	0
interlaken	9-28 ,2017	w, n	47.6339647085039	-122.307157720448	0
Wilburton	9/28/2017	ne, sw	47.6054559847034	-122.175423961809	0
madrona woods 2	10-04,2017	se, sw	47.6113424846183	-122.283470076341	0
bridal trails 1	10-07,2017	s, w	47.6512136167853	-122.169905124843	0
denny	10-28, 2017	four dead in area.	47.7104999006003	-122.24784218281	0
may creek 1	(missing)	about ten dead	47.5188358114076	-122.160909187541	0
coleman park	tmarch 02, 2018	sw	47.5852882930769	-122.288339426752	0
lincoln park 1	3-07, 2018	25 plus dead. some just stubble covered with moss.	47.5315323471172	-122.396774638986	25
Seward Park 1	5-05,2018	I found three dead  four years ago. shannon took video jan or thereabouts fifty dead. now 100 plus.originaldead site almost bereft of buttercup ,	47.5618253079762	-122.251178632225	100
fairweather park	12-23, 2017	nw, se	47.6390891949294	-122.23975430433	0
cougar mountain, trail to meadow views trails	11-08, 2017	ne,	47.531576801776	-122.129112673737	0
may  creek 2	11-17,2017	2nd south , forth nw	47.5192992032611	-122.161078892302	2
madrona woods 3	12-18, 2018	se, sw	47.6113009068686	-122.283392439694	0
Seward park 2	4-20-18	potential photo location	47.556157916297	-122.252027399637	0
tiger mountain. tradition plateau	6-02, 2018	about  15 dead to this point, but another20dead in immediate area.	47.52894887545	-122.02155211376	35
tiger mountain big tree trail	6-02, 2018	about 20 dead in area	47.5319211611121	-122.014038983336	20
tiger mountain swamp trail	6-02,2018	bunch of dead above trail.50? plus along swamp trail	47.5309958546748	-122.006412967269	50
tiger, swamp trail	6-02,2018	50 plus dead	47.5310510721141	-121.99829576361	50
same as 5sw	(missing)	122 dead counted from trail in just one hundred feet	47.5311896481562	-121.998383057153	122
pritchard beach	may 6 2018	south	47.5283033952519	-122.263010919061	0
mercer island 1	6-08, 2018	about 100 dead	47.585615056319	-122.239313601227	100
mercer island 2	6-08, 2018	over 100 dead, but unlike north mercerdale not many new dead in last year and one half	47.5833521577357	-122.225519259146	100
issaquah	6-15, 2018	trail to round lake, hopefully. about 80 dead so far	47.5243413074758	-122.02350957371	80
redmond watershed preserve 1	july 18,2018	30 dead or so at beginning of trail.116 dead trout loop trail	47.6966771165293	-122.051752083256	146
redmond watershed 2	july 18,2018	87 dead to this point. here about 15 dead, but are mostly moss cove	47.6999772500219	-122.053718725214	102
tradition lake trail	8-16, 2018	80 plus dead to this point.	47.5268515588832	-122.004153732347	80
tradittion lke yrail	8-16, 2018	60 plus dead in area	47.5287944833684	-122.007243883206	60
o.o. denny	7-29, 2018	nw, e	47.71076710002	-122.248290349272	0
soos creek 1	8-03,2018	30 plus dead  sword ferns.just a coupl	47.3660977123029	-122.139683885414	30
bellevue	august 16, 2018	20 plus dead in area, 2 or 3 dead previously.	47.595840744308	-122.167543383081	25
mcavish	8-16,2018	20 plus dead ln area. 2 or 3 previously- October 13, last year.	47.5957643066045	-122.167556663004	38
cougar 4	9-07,2018	about 15 dead in area another 30 or so on wildside, de leo and marshalls hill trail.	47.5248840665887	-122.143088466768	45
cheasty. boulevard	9-14, 2018	30 plus dead over couple hundred feet by fifty feet.	47.5634311006828	-122.300860236789	30
madrona woods, seattle	9-14,2018	15 or so dead within 50 uptrail and downstream.	47.6112607330355	-122.283507333981	65
interlaken, seattle	9-14,2018	sw, nw	47.6331187871992	-122.307017208951	0
east mercer way	9-15, 2018	about 40 plus dead along some one hundred and fifty feet of embankment.	47.5663795110167	-122.211908148423	40
